id,title,condition,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode,price,currency_id,condicion_item,unico_dueno,control_traccion,aire_acondicionado,cilindros,cilindrada,capacidad_personas,marca,puertas,motor,tipo_combustible,kilometros,modelo
MLA1428388132,Toyota Etios 2023 1.5 Xls At,used,867635-MLA54155640216_032023,MLA21093091,gold_premium,https://auto.mercadolibre.com.ar/MLA-1428388132-toyota-etios-2023-15-xls-at-_JM,classified,17500,USD,Usado,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,1000 km,Etios,Automática
MLA1437456152,Toyota Etios,used,707896-MLA70113462955_062023,MLA21093091,gold_premium,https://auto.mercadolibre.com.ar/MLA-1437456152-toyota-etios-_JM,classified,8750000,ARS,Usado,Sí,Delantera,Sí,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,1 km
MLA1436820366,Toyota Etios Xs 1.5 Mt,used,811647-MLA70078792920_062023,MLA23289258,gold_premium,https://auto.mercadolibre.com.ar/MLA-1436820366-toyota-etios-xs-15-mt-_JM,classified,4000000,ARS,Usado,Delantera,1.5 L,4265 mm,5,90 hp,Toyota,4,1.5,Nafta,101614 km,Etios,Manual
MLA1374147237,Toyota Etios 1.5 Xls,used,640704-MLA70082813063_062023,MLA15519741,gold_premium,https://auto.mercadolibre.com.ar/MLA-1374147237-toyota-etios-15-xls-_JM,classified,4150000,ARS,Usado,Delantera,1.5 L,3893 mm,5,90 hp,Toyota,5,1.5,Nafta,96100 km,Etios,Manual
MLA1433759550,Toyota Etios 2023 1.5 Xls At Lesbleus ,used,923276-MLA69996319851_062023,MLA21093091,gold_premium,https://auto.mercadolibre.com.ar/MLA-1433759550-toyota-etios-2023-15-xls-at-lesbleus-_JM,classified,8400000,ARS,Usado,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,500 km,Etios,Automática
MLA1410576938,Toyota Etios 1.5 Xls Pack At4 2023 (0 Km),new,984344-MLA69238707738_052023,MLA21093091,gold_premium,https://auto.mercadolibre.com.ar/MLA-1410576938-toyota-etios-15-xls-pack-at4-2023-0-km-_JM,classified,7300000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,0 km,Etios,Automática
MLA1435997758,Toyota,used,707284-MLA70082130447_062023,MLA21093697,gold_premium,https://auto.mercadolibre.com.ar/MLA-1435997758-toyota-_JM,classified,6990000,ARS,Usado,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,1000 km,Etios,Manual
MLA1430927780,Toyota Etios Xls Pack 6mt 4puertas E.f,new,796549-MLA69871377968_062023,MLA21093697,gold_premium,https://auto.mercadolibre.com.ar/MLA-1430927780-toyota-etios-xls-pack-6mt-4puertas-ef-_JM,classified,5665000,ARS,Nuevo,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Manual
MLA1422229894,Toyota Etios Xs 1.5 Mt 4 Puertas Con Gnc Financio Permuto Am,used,892658-MLA69564784203_052023,MLA8690843,gold_premium,https://auto.mercadolibre.com.ar/MLA-1422229894-toyota-etios-xs-15-mt-4-puertas-con-gnc-financio-permuto-am-_JM,classified,2395000,ARS,Usado,Delantera,1.5 L,4265 mm,5,90 hp,Toyota,4,1.5,Nafta,108000 km,Etios,Manual
MLA1408612942,Toyota Etios 5 Puertas X 2023 Entrega Inmediata,used,931871-MLA54979874339_052023,MLA19324367,gold_premium,https://auto.mercadolibre.com.ar/MLA-1408612942-toyota-etios-5-puertas-x-2023-entrega-inmediata-_JM,classified,6200000,ARS,Usado,Sí,Delantera,Sí,1496 cc,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,3500 km
